route_id,from_city_id,from_city,from_state,from_lat,from_lon,from_elevation_ft,to_city_id,to_city,to_state,to_lat,to_lon,to_elevation_ft,map_distance_miles,real_distance_miles,elevation_change_ft,tan_theta,mpg,gallons_needed,travel_hours,travel_days,best_travel_date,avg_risk_factor
125,28,Nashville,TN,36.1627,-86.7816,597,19,Atlanta,GA,33.749,-84.388,1050,214.89,214.98,453,0.000399,44.82,4.8,2.87,1,2025-11-02,1.0
126,19,Atlanta,GA,33.749,-84.388,1050,29,Memphis,TN,35.1495,-90.049,337,336.69,336.55,-713,-0.000401,45.18,7.45,4.49,1,2025-11-02,1.0
127,29,Memphis,TN,35.1495,-90.049,337,19,Atlanta,GA,33.749,-84.388,1050,336.69,336.83,713,0.000401,44.82,7.52,4.49,1,2025-11-02,1.0
128,23,Columbus,OH,39.9612,-82.9988,902,25,Detroit,MI,42.3314,-83.0458,600,163.79,163.73,-302,-0.000349,45.16,3.63,2.18,1,2025-11-01,1.0
129,25,Detroit,MI,42.3314,-83.0458,600,23,Columbus,OH,39.9612,-82.9988,902,163.79,163.84,302,0.000349,44.84,3.65,2.18,1,2025-11-01,1.0
130,23,Columbus,OH,39.9612,-82.9988,902,26,Indianapolis,IN,39.7684,-86.1581,717,168.07,168.03,-185,-0.000208,45.09,3.73,2.24,1,2025-11-04,1.0
131,26,Indianapolis,IN,39.7684,-86.1581,717,23,Columbus,OH,39.9612,-82.9988,902,168.07,168.1,185,0.000208,44.91,3.74,2.24,1,2025-11-04,1.0
132,23,Columbus,OH,39.9612,-82.9988,902,27,Louisville,KY,38.2527,-85.7585,466,189.26,189.18,-436,-0.000436,45.2,4.19,2.52,1,2025-11-01,1.0
133,27,Louisville,KY,38.2527,-85.7585,466,23,Columbus,OH,39.9612,-82.9988,902,189.26,189.35,436,0.000436,44.8,4.23,2.52,1,2025-11-01,1.0
134,24,Cleveland,OH,41.4993,-81.6944,653,25,Detroit,MI,42.3314,-83.0458,600,90.18,90.17,-53,-0.000111,45.05,2.0,1.2,1,2025-11-02,1.0
135,25,Detroit,MI,42.3314,-83.0458,600,24,Cleveland,OH,41.4993,-81.6944,653,90.18,90.19,53,0.000111,44.95,2.01,1.2,1,2025-11-02,1.0
136,24,Cleveland,OH,41.4993,-81.6944,653,26,Indianapolis,IN,39.7684,-86.1581,717,262.79,262.8,64,4.6e-05,44.98,5.84,3.5,1,2025-11-01,1.0
137,26,Indianapolis,IN,39.7684,-86.1581,717,24,Cleveland,OH,41.4993,-81.6944,653,262.79,262.78,-64,-4.6e-05,45.02,5.84,3.5,1,2025-11-01,1.0
138,24,Cleveland,OH,41.4993,-81.6944,653,27,Louisville,KY,38.2527,-85.7585,466,310.99,310.95,-187,-0.000114,45.05,6.9,4.15,1,2025-11-02,1.0
139,27,Louisville,KY,38.2527,-85.7585,466,24,Cleveland,OH,41.4993,-81.6944,653,310.99,311.02,187,0.000114,44.95,6.92,4.15,1,2025-11-02,1.0
140,25,Detroit,MI,42.3314,-83.0458,600,26,Indianapolis,IN,39.7684,-86.1581,717,240.09,240.11,117,9.2e-05,44.96,5.34,3.2,1,2025-11-03,1.0
141,26,Indianapolis,IN,39.7684,-86.1581,717,25,Detroit,MI,42.3314,-83.0458,600,240.09,240.07,-117,-9.2e-05,45.04,5.33,3.2,1,2025-11-03,1.0
142,26,Indianapolis,IN,39.7684,-86.1581,717,27,Louisville,KY,38.2527,-85.7585,466,106.9,106.85,-251,-0.000445,45.2,2.36,1.42,1,2025-11-01,1.0
143,27,Louisville,KY,38.2527,-85.7585,466,26,Indianapolis,IN,39.7684,-86.1581,717,106.9,106.95,251,0.000445,44.8,2.39,1.43,1,2025-11-01,1.0
144,27,Louisville,KY,38.2527,-85.7585,466,28,Nashville,TN,36.1627,-86.7816,597,154.99,155.02,131,0.00016,44.93,3.45,2.07,1,2025-11-01,1.0
145,28,Nashville,TN,36.1627,-86.7816,597,27,Louisville,KY,38.2527,-85.7585,466,154.99,154.97,-131,-0.00016,45.07,3.44,2.07,1,2025-11-01,1.0
146,27,Louisville,KY,38.2527,-85.7585,466,29,Memphis,TN,35.1495,-90.049,337,320.03,320.01,-129,-7.6e-05,45.03,7.11,4.27,1,2025-11-01,1.0
